id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count
6144424,0.0,"The article misquotes the ""Michael vs. Mia"" ad: There are no gender pronouns in the song (either the version in the ad, or the original version from the 1946 musical ""Annie Get Your Gun""); in fact, in both the original song and in the ad, singers of both genders boast about being better than the other.",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-14 03:01:13.428873+00,105,,388522,approved,0,0,0,0,0,0.0,0,4
5845110,0.5875,"Given that Canada was founded by a group of racist, misogynistic and anti First Nation white males would the proper step be to just end Canada and start over?",0.0625,0.025,0.475,0.45,0.075,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2017-08-26 15:11:16.564631+00,54,,370708,approved,1,2,0,1,3,0.0125,10,80
5813027,0.5,"No, again, there is no such thing as a ""right to secrecy.""  The 5th amendment protects against being forced to self-incriminate.  Statements made to others are admissible evidence.  You tell your next door neighbor, brother, sister, doctor, etc, you raped a child, that statement is admissible evidence.  Time to toss this religion-based protection for pedophiles in the trash where it belongs.",0.0,0.0,0.4,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-21 18:31:07.912503+00,53,5812332.0,367984,approved,0,0,0,1,0,0.1,0,10
789978,0.0,"No. The power of the keys was given to Peter, and the authority over the community to the Apostles. The Church as the holy people of God is not a Vatican II concept, it dates back to  Judges 20:2 and 2 Samuel 14:13.

To quote Lumen Gentium “Though they differ essentially and not only in degree, the common priesthood of the faithful and the ministerial or hierarchical priesthood are none the less ordered one to another; each in its own proper way shares in the one priesthood of Christ. The ministerial priest, by the sacred power that he has, forms and rules the priestly people; in the person of Christ he effects the eucharistic sacrifice and offers it to God in the name of all the people. The faithful indeed, by virtue of their royal priesthood, participate in the offering of the Eucharist. They exercise that priesthood, too, by the reception of the sacraments, prayer and thanksgiving, the witness of a holy life, abnegation and active charity.”",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-04 19:59:14.642164+00,53,789793.0,159943,approved,0,0,0,3,1,0.0,10,10
5226096,0.8392857142857143,Fatchicks in stupid hats.  ALWAYS a good time.,0.0178571428571428,0.1785714285714285,0.1071428571428571,0.8035714285714286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-07 15:08:37.678812+00,21,,332614,rejected,0,0,0,0,0,0.0,0,56
796725,0.675,Keep your sad sick religion to yourself.  I want no part of it.,0.05,0.0,0.4625,0.575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-06 00:10:18.368878+00,54,778174.0,159410,approved,0,0,0,0,0,0.0,0,80
5356257,0.0,"Yes....but then woul you agree that the use if the word ""Catholic"" in the title may be a bit misleading?  Especially since, as you say, NCR is NOT affiliated with the official ""Church"" or her teachings??  One might suspect given the title, that they are so affiliated.....",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2017-06-04 19:17:24.022763+00,53,5351431.0,340346,approved,1,0,0,3,1,0.0,10,4
698421,0.1,"With respect, recent elections in the US, Turkey, Israel, & UK and Brexit have made a mockery of democracy.

The election of a completely unfit person to the most powerful job in the World has set back democratic progress in China, and the World, enormously.

Right now the government in Beijing is saying to itself:  ""Darn good thing we don't have democratic elections - look what could have happened!""

This is the result of tolerating the Big Oil/GOP/Conservative attack on democratic institutions over the last 30 years, ending in Citizen's United and McCutcheon.  We have failed to defend democratic institutions.

When dictatorships like China can point to our elections as a bad joke, and proudly proclaim their own technocratic approach is better and more sane, the West has suffered an enormous self-inflicted injury. 

This is the cost of tolerating the Rob Ford joke.
The Stephen Harper joke. 
The Nigel Farage joke.
The Donald Trump joke.

It is a terrible price.

Abolish FPP now.",0.0,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-12 17:44:24.205346+00,54,,155993,approved,0,0,0,0,0,0.0,0,10
5456849,0.5,"Great job by the ADF&G responding to this tragedy.  We have a known predatory bear that has killed one human, living in close proximity the largest population center in this state.  Killing that bear was the only appropriate option, and if three other bears had to die in the interest of absolution, so be it. This state is infested with black bears, killing four of them for the sake of removing a dangerous and predatory bear is only unacceptable to snowflakes and those with mental illness.",0.0,0.1,0.3,0.4,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,2017-06-22 06:06:00.660801+00,21,,347144,approved,0,1,0,4,0,0.0,10,10
609993,0.6,"The question for the immediate term, is how will Alaska's Congressional delegation, Rep. Young, and Senators Sullivan and Murkowski, vote on legislation that denies the existing and growing impacts of global climate change, and will they confirm a Trump nominee for the EPA that rejects the global climate changes and the impacts that are even clearly visible in Alaska.  You get what you voted for and Mother Nature has no mercy for fools!",0.0,0.1,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-18 05:54:24.836423+00,21,,151854,approved,0,0,0,0,0,0.0,0,10
636834,0.825,"This is such crap.  Gee is trying to paint everyone who understands there is a problem with Islam, terrorism, illegal immigration, & wondering why Obama cannot produce his actual birth certificate is a racist.  Typical left wing media crap.  I rarely read this paper for good reason.  And by the way, it is a fact that MANY Muslims did cheer 9-11.",0.05,0.7,0.525,0.6125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,2016-11-29 23:26:40.188610+00,54,,153184,approved,0,0,0,0,7,0.0125,6,80
661577,0.5,Going by your definition the US GOVERNMENT is the largest terrorist organization ever assembled,0.0,0.0,0.1,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-05 01:56:53.038077+00,21,661305.0,154576,approved,0,2,0,5,1,0.0,0,10
5552547,0.0,"You must forgive Justin for this oversight, he is heavily involved in worldwide womens' issues and can easily overlook what is happening in Canada!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-08 12:46:30.564108+00,54,,352909,approved,2,0,0,5,0,0.0,10,4
5926930,0.5,Large numbers of muslims leaving a non-muslim country is actually good news,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-09 21:35:54.334975+00,54,,375939,rejected,0,0,0,0,0,0.0,4,10
932082,0.6,"Stop pointing fingers at Canadians and smearing them with 'anti-Muslim hate'.

This incident of Muslims being killed at the Mosque in Quebec brings to mind the  14 women who were killed at Ecole Polytechnique in 1989.

Their killer was 25 year-old Marc Lépine, born Gamil Rodrigue Liass Gharbi in Montreal, the son of a Canadian nurse and an Algerian businessman. 

His Muslim father was abusive and contemptuous of women.

Stop pointing fingers at Canadians and smearing them with 'anti-Muslim hate'.",0.0,0.0,0.6,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-01 13:01:11.319345+00,54,,165300,approved,0,0,0,5,1,0.0,4,10
6259436,0.7,"I don't know; where is it? I wish I had a hot female teacher provide me with sex. Seriously, I do. I wished for it as a kid, and I wish for it now.",0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-31 17:11:35.595086+00,102,6259159.0,395349,approved,0,0,0,1,1,0.7,6,10
5180735,0.2,From France I haven't spent one day without thinking ogf Buddy. Those men are two murders and they deserve the worst. I want that each and every day someone remember them that a magic and innocent animal is probably dead because their crualty. Not only little Pinguin but two of the babies born just before his kidnapping are dead too. I pray that this marvelous little Buddy is still alive but I know that those two horrifics men will pay hard and forever.,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-26 13:38:35.032376+00,100,,327962,approved,0,0,0,0,0,0.0,10,10
