name,n_in_subgroup,subgroup_auc,bpsn_auc,bnsp_auc
male,4386,0.8843558713429623,0.8879190181168557,0.9446828422001325
female,5155,0.8856671877570105,0.8908212472212871,0.9434085366614137
transgender,260,0.8215592457078525,0.8309392278928383,0.946631912571826
other_gender,0,,,
heterosexual,141,0.6545566502463054,0.7881480872393059,0.9215288100868039
homosexual_gay_or_lesbian,1065,0.7748431590656285,0.7893180222090752,0.9500896678896185
bisexual,34,0.7671957671957672,0.8621802944061865,0.8962074065805263
other_sexual_orientation,1,,0.7937597099948214,
christian,4226,0.892127568619822,0.9222863891739341,0.9211087673539861
jewish,835,0.8423679121701703,0.8781372439689741,0.9308342173348744
muslim,2040,0.8071555560874486,0.8219295032446721,0.9486854164688904
hindu,51,0.9,0.9043213613034188,0.9248903129291193
buddhist,53,0.7360248447204968,0.8981002018905061,0.872526159828137
atheist,280,0.8872954587240302,0.9286161027912503,0.9143025867889364
other_religion,29,0.6071428571428572,0.8859325435359617,0.8726529883235472
black,1519,0.7852276107136708,0.7774870061617005,0.9582975331827284
white,2452,0.7871073123059221,0.7794343797296405,0.9599483851838011
asian,454,0.8822463768115942,0.9181466119755264,0.9170691035478323
latino,225,0.8951994590939824,0.8790475678573002,0.9547770308561369
other_race_or_ethnicity,41,0.8739495798319328,0.8488058911149462,0.9658146919000467
physical_disability,9,1.0,0.9111882566194083,0.9548285561210823
intellectual_or_learning_disability,24,0.5652173913043479,0.959350485953372,0.5286573012072401
psychiatric_or_mental_illness,511,0.8839040298159795,0.8537866680829354,0.9581032758386152
other_disability,0,,,
